ISSN, OBJECT ID, SIRSI DATE, SFX DATE
0021-8375, 954925409796, [1853-2003], [1853-2003]
0021-891X, 954925410814, [1971-], [1971-]
0022-0833, 954925413881, [1967-], [1967-]
0022-1155, 954925413891, [2010-], [2010-]
0022-1333, 954925413899, [1910-], [1910-]
0022-1791, 954925414916, [1970-], [1970-]
0022-2291, 954925414929, [1969-], [1969-]
0022-2461, 954925415936, [1966-], [1966-]
0022-2631, 954925415943, [1969-], [1969-]
0022-2844, 954925415946, [1971-], [1971-]
0022-3239, 954925416966, [1967-], [1967-]
0022-4197, 954925417001, [1961-], [1961-]
0022-3611, 954925417983, [1972-], [1972-]
0022-4715, 954925418023, [1969-], [1969-]
0022-4766, 954925418025, [1960-], [1960-]
0022-5010, 954925418032, [1968-], [1968-]
0022-5363, 954925419044, [1967-], [1967-]
0023-1584, 954925419055, [2000-], [2000-]
0023-2653, 954925419058, [2000-], [2000-]
0024-4201, 954925421098, [1966-], [1966-]
0025-2611, 954925422116, [v.1(1969)-], [1968-]
0025-3162, 954925422117, [1967-], [1967-]
0025-3235, 954925422119, [1970-], [1970-]
0025-5432, 954925422129, [1968-1991], [1968-1991]
0025-5610, 954925422131, [1971-], [1971-]
0025-5831, 954925422134, [1869-], [1869-]
0025-5874, 954925422136, [1918-], [1918-]
0025-6455, 954925423140, [1966-], [1966-]
0026-0673, 954925424158, [1959-], [1959-]
0026-0894, 954925424160, [1957-], [1957-]
0026-2617, 954925424168, [2000-], [2000-]
0026-3672, 954925425178, [1937-], [1937-]
0026-4598, 954925425185, [1966-], [1966-]
0026-4695, 954925425187, [v.1(1962)-], [1822-1826, 1962-]
0026-8925, 954925426201, [Record not found in Sirsi], [1908-2001]
0026-8933, 954925426202, [2000-], [2000-]
0026-9247, 954925426204, [Record not found in Sirsi], [1880-]
0026-9255, 954925426205, [1890-], [1890-]
0026-9298, 954925426206, [Record not found in Sirsi], [1902-1996, 1996-]
0028-1042, 954925427239, [1913-], [1913-]
0028-1298, 954925427240, [1972-], [1972-]
0028-2677, 954925427244, [Record not found in Sirsi], [1915-]
0028-2804, 954925427247, [1996-], [1996-]
0028-3940, 954925428259, [1970-], [1970-]
0029-599X, 954925429300, [1959-], [1959-]
0029-8549, 954925430313, [1968-], [1968-]
0030-400X, 954925430329, [2000-], [2000-]
0031-5117, 954925432372, [1967-2008], [1967-2008]
0031-6768, 954925432380, [1968-1996, 1996-], [1968-1996, 1996-]
0031-6970, 954925432382, [v.3(1970)-], [1968-]
0031-8116, 954925433392, [1950-], [1950-]
0032-079X, 954925434424, [1948-], [1948-]
0032-0935, 954925434427, [1925-], [1925-]
0032-3470, 954925434437, [2000-2010], [2000-2010]
0032-8332, 954925435455, [1957-], [1957-]
0033-1732, 954925435462, [2000-2008], [2000-2008]
0033-183X, 954925435463, [1926-], [1926-]
0033-2720, 954925436466, [1927-], [1927-]
0033-3123, 954925436477, [1936-], [1936-]
0033-3158, 954925436478, [Record not found in Sirsi], [1959-]
0033-4553, 954925436487, [Record not found in Sirsi], [1964-]
