ISSN, OBJECT ID, SIRSI DATE, SFX DATE
0927-5940, 954925567768, [1994-], [1994-]
0928-0707, 954925568773, [1993-], [1993-]
0928-1231, 954925568775, [Record not found in Sirsi], [1979-2010]
0928-2866, 954925568777, [1993-2000], [1993-2000]
0929-1873, 954925568784, [Record not found in Sirsi], [1895-]
0929-5305, 954925568786, [1994-], [1994-]
0929-5313, 954925568787, [1994-], [1994-]
0929-5585, 954925568788, [1996-], []
0929-5593, 954925568789, [1994-], [1994-]
0930-0708, 954925568794, [Record not found in Sirsi], [1948-]
0930-1038, 954925568795, [Record not found in Sirsi], [1978-]
0930-2794, 954925568796, [Record not found in Sirsi], [1986-]
0930-343X, 954925568797, [1986-], [1986-]
0930-7575, 954925568800, [1986-], [1986-]
0931-041X, 954925569802, [1987-], [1987-]
0931-1890, 954925569807, [1986-], [1986-]
0932-0067, 954925569814, [1987-], [1987-]
0932-4194, 954925569821, [1988-], [1988-]
0932-433X, 954925569822, [1997-], [1997-]
0932-8092, 954925569825, [1988-], [1988-]
0933-1433, 954925569826, [1988-], [1988-]
0933-2790, 954925569828, [1988-], [1988-]
0933-5846, 954925570834, [Record not found in Sirsi], [1950-]
0933-7954, 954925570837, [Record not found in Sirsi], [1966-]
0934-0874, 954925570839, [1988-], [1988-]
0934-0882, 954925570840, [1988-], [1988-]
0934-9723, 954925570844, [1988-], [1988-]
0934-9839, 954925570845, [1989-], [1989-]
0934-9847, 954925570846, [1989-], [1989-]
0935-1175, 954925570848, [1989-], [1989-]
0935-4956, 954925570850, [1989-], [1989-]
0935-4964, 954925570851, [1989-], [1989-]
0935-6185, 954925570852, [1996-], [1996-]
0936-8051, 954925571862, [1989-], [1989-]
0936-9937, 954925571863, [1991-], [1991-]
0937-0633, 954925571864, [v.336(1990)-v.371(2001)], [1862-2001]
0937-4477, 954925571866, [Record not found in Sirsi], [1864-]
0937-6429, 954925571868, [1999-], [1999-]
0937-9347, 954925571869, [1990-], [1990-]
0937-941X, 954925571870, [1990-], [1990-]
0937-9827, 954925571871, [Record not found in Sirsi], [1922-]
0938-1279, 954925571873, [1990-], [1990-]
0938-1287, 954925571874, [v.1(1991)-], [1990-]
0938-2259, 954925571875, [1991-], [1991-]
0938-7714, 954925571876, [1991-2001], [1991-2001]
0938-7994, 954925571877, [1991-], [1991-]
0938-8974, 954925571878, [1991-], [1991-]
0938-8990, 954925571879, [1991-], [1991-]
0939-1533, 954925571880, [1991-1996, 1996-], [1991-1996, 1996-]
0939-4451, 954925571881, [1991-], [1991-]
0939-5555, 954925571884, [1991-], [1991-]
0939-6314, 954925571885, [1992-], [1992-]
0940-1334, 954925571889, [1990-], [1990-]
0940-5429, 954925572891, [1991-], [1991-]
0940-5437, 954925572892, [v.28(1998)-v.30(2000)], [1971-2000]
0940-6360, 954925572893, [1991-], [1991-]
0940-6719, 954925572894, [1992-], [1992-]
0941-0643, 954925572896, [1993-], [1993-]
0941-1291, 954925572898, [Record not found in Sirsi], [1971-]
0941-293X, 954925572899, [1996-], [1996-]
0941-4355, 954925572901, [1993-], [1993-]
0942-2056, 954925572902, [1993-], [1993-]
0942-4962, 954925572903, [1993-], [1993-]
0942-8925, 954925572904, [1993-], [1993-]
0943-0105, 954925572906, [1993-2009], [1993-2009]
0944-1174, 954925572908, [v.29(1994)-], [1966-]
0944-1344, 954925572909, [1994-], [1994-]
0944-2669, 954925572912, [1993-], [1993-]
0945-6317, 954925572916, [Record not found in Sirsi], [1847-]
0946-2171, 954925572919, [1994-], [1994-]
0946-2716, 954925573920, [Record not found in Sirsi], [1922-]
0946-7076, 954925573922, [1994-], [1994-]
0947-8396, 954925573932, [1995-], [1995-]
1610-2940, 954925573936, [1995-], [1995-]
0948-7921, 954925573937, [1912-], [1912-]
0949-1775, 954925573940, [1996-], []
0949-7714, 954925573942, [Record not found in Sirsi], [1946-]
0949-8257, 954925573943, [1996-], []
0949-944X, 954925573944, [Record not found in Sirsi], [1894-]
0951-208X, 954925574958, [1987-1999], [1987-1999]
0956-5515, 954925577033, [1990-], [1990-]
0957-4522, 954925577043, [1990-], [1990-]
0957-4530, 954925577044, [1990-], [1990-]
0957-5243, 954925577048, [1990-], [1990-]
0959-3993, 954925578064, [Record not found in Sirsi], [1985-]
0959-9851, 954925578084, [1991-], [1991-]
0960-3115, 954925579090, [1992-], [1992-]
0960-3166, 954925579092, [1991-], [1991-]
0960-8923, 954925579101, [1991-], [1991-]
0962-8819, 954925580129, [1991-], [1991-]
0962-9343, 954925580132, [1992-], [1992-]
0963-9292, 954925581144, [1992-], [1992-]
0966-0844, 954925581169, [Record not found in Sirsi], [1988-]
0967-3849, 954925582185, [1993-], [1993-]
0967-6120, 954925582189, [1993-], [1993-]
0992-7689, 954925583222, [1994-], [1994-]
1001-6538, 954925584230, [1997-], [1997-]
1006-9283, 954925584236, [2003-2009], [2003-2009]
1006-9291, 954925584237, [1997-2009], [1997-2009]
1006-9305, 954925584238, [1997-2009], [1997-2009]
1006-9313, 954925584239, [1997-2009], [1997-2009]
1006-9321, 954925584240, [Record not found in Sirsi], [1997-2009]
1010-4283, 954925584243, [2005-], [2005-]
1011-372X, 954925584249, [1988-], [1988-]
1012-2443, 954925584251, [1990-], [1990-]
1015-1621, 954925585255, [v.51(1989)-], [1920-]
1016-3328, 954925585265, [1991-], [1991-]
1016-443X, 954925585267, [1991-], [1991-]
1016-8478, 954925585269, [1999-], [1999-]
1018-4864, 954925585278, [1993-], [1993-]
1018-8827, 954925585281, [1992-], [1992-]
1021-4437, 954925586290, [2000-], [2000-]
1021-7770, 954925586294, [v.1(1994)-], [1993-]
1022-0038, 954925586295, [1995-], [1995-]
1022-5528, 954925586300, [Record not found in Sirsi], [1994-]
1022-7091, 954925586302, [1995-2002], [1995-2002]
1022-9760, 954925586303, [1994-], [1994-]
1023-1935, 954925586304, [2000-], [2000-]
1023-3830, 954925586305, [1995-], [1995-]
1023-8883, 954925586308, [1995-], [1995-]
1040-0400, 954925587334, [1990-], [1990-]
1040-726X, 954925588351, [1989-], [1989-]
1040-7278, 954925588352, [1990-], [1990-]
1042-1629, 954925589375, [v.37(1989)-], [1953-]
1044-0305, 954925590403, [1990-], [1990-]
1044-7393, 954925590412, [v.10(1989)-v.35(1998)], [1983-1998]
1045-6767, 954925591428, [1990-], [1990-]
1046-3976, 954925591433, [1990-], [1990-]
1047-4838, 954925592444, [1994-], [1985-]
1053-0487, 954925594504, [1991-], [1991-]
1053-0495, 954925594505, [1991-2004], [1991-2004]
1053-0509, 954925594506, [1991-], [1991-]
1053-0789, 954925594509, [1992-2002], [1992-2002]
1053-8801, 954925595524, [1991-], [1985-]
1054-2523, 954925595527, [2004-], [2004-]
1054-5476, 954925595529, [Record not found in Sirsi], [1965-]
1054-660X, 954925595531, [1991-2012], [1991-2012]
1054-9714, 954925595536, [v.12(1991)-v.24(2003)], [1980-2003]
1056-263X, 954925595541, [1991-], [1991-]
1056-8190, 954925596547, [1991-], [1991-]
1058-0468, 954925596565, [Record not found in Sirsi], [1984-]
1059-0161, 954925597581, [1993-], [1993-]
1059-9495, 954925597588, [1992-], [1992-]
1059-9630, 954925597589, [1992-], [1992-]
1060-0396, 954925597591, [Record not found in Sirsi], [1965-]
1061-8309, 954925598613, [2000-], [2000-]
1061-9208, 954925598616, [2006-], [2006-]
1061-933X, 954925598618, [2000-], [2000-]
1061-9348, 954925598619, [2000-], [2000-]
1062-7391, 954925598625, [Record not found in Sirsi], [1965-]
1063-4258, 954925599637, [Record not found in Sirsi], [1956-]
1063-7095, 954925599644, [Record not found in Sirsi], [1966-]
1063-7710, 954925599646, [2000-], [2000-]
1063-7729, 954925599647, [2000-], [2000-]
1063-7737, 954925599648, [2000-], [1975-]
1063-7745, 954925599649, [2000-], [2000-]
1063-7788, 954925599650, [2000-], [2000-]
1063-780X, 954925599651, [2000-], [2000-]
1064-2269, 954925600661, [2006-], [2006-]
1064-2293, 954925600662, [2006-], [2006-]
1064-2307, 954925600663, [2006-], [2006-]
1065-3058, 954925600677, [1993-], [1993-]
1066-3622, 954925601689, [2001-], [2001-]
1066-5285, 954925601692, [Record not found in Sirsi], [1952-]
1066-8888, 954925601694, [1992-], [1992-]
1067-4136, 954925601699, [2000-], [2000-]
1068-0667, 954925601704, [1994-], [1994-]
1068-1302, 954925601705, [Record not found in Sirsi], [1962-]
1068-9265, 954925601709, [1994-], [1994-]
1068-9583, 954925602710, [1994-], [1994-]
1069-5869, 954925602719, [1994-], [1994-]
1069-9384, 954925602722, [1994-], [1994-]
1070-3284, 954925602726, [2000-], [2000-]
1070-3632, 954925602727, [2001-], [2001-]
1070-4272, 954925602728, [2001-], [2001-]
1070-5503, 954925602731, [1994-], [1994-]
1071-2690, 954925603743, [1993-], [1991-]
1071-3581, 954925603744, [], [1994-]
1072-5245, 954925603758, [1994-], [1994-]
1072-5369, 954925603759, [1994-], [1994-]
1073-5623, 954925604771, [v.25(1994)-], [1970-]
1074-1542, 954925604775, [Record not found in Sirsi], [1971-]
1075-7015, 954925604789, [2006-], [2006-]
1080-0549, 954925606834, [1995-], [1995-]
1083-4362, 954925607860, [1996-], []
1085-7117, 954925608871, [1996-], [1996-]
1090-0586, 954925609893, [Record not found in Sirsi], [1976-]
1091-255X, 954925609899, [1997-], [1997-]
1094-429X, 954925609919, [Record not found in Sirsi], [1988-]
1097-3958, 954925610930, [1998-], [1998-]
1099-3460, 954925610936, [v.75(1998)-], [1988-]
1134-3060, 954925611963, [1994-], [1994-]
1138-7548, 954925611964, [2000-], [2000-]
1226-4865, 954925613003, [1997-2004], [1997-2004]
1230-2821, 954925613005, [2006-], [2006-]
1269-3286, 954925614016, [1996-2000], [1996-2000]
1286-4560, 954925614019, [1999-], [1999-]
1340-6000, 954925615039, [1994-], [1994-]
1341-8998, 954925615046, [v.48(2001)-], []
1352-8505, 954925617094, [1994-], [1994-]
1353-3452, 954925617099, [1995-], [1995-]
1355-0284, 954925618111, [1995-], [1995-]
1358-3948, 954925618124, [1997-2007], [1997-2007]
1360-8185, 954925619145, [1996-], []
1367-5435, 954925620165, [Record not found in Sirsi], [1986-]
1380-2224, 954925620178, [1995-], [1995-]
1380-3743, 954925620180, [1995-], [1995-]
1380-6165, 954925621181, [1995-], [1995-]
1380-7501, 954925621182, [1995-], [1995-]
1381-1231, 954925621186, [v.1(1995)-], []
1381-1991, 954925621187, [1995-], [1995-]
1382-4090, 954925621191, [1997-], [1997-]
1382-6905, 954925621194, [1997-], [1997-]
1383-4649, 954925621195, [1997-], [1997-]
1383-469X, 954925621196, [1996-], []
1383-875X, 954925621201, [1997-], [1997-]
1384-5640, 954925621203, [1997-], [1997-]
1384-5810, 954925621204, [1997-], [1997-]
1384-6574, 954925621205, [1997-2002], [1997-2002]
1385-0237, 954925621206, [Record not found in Sirsi], [1948-]
1385-1292, 954925621208, [1997-], [1997-]
1385-1314, 954925621209, [1996-], [1996-]
1386-6141, 954925622216, [Record not found in Sirsi], [1956-]
1386-6184, 954925622217, [Record not found in Sirsi], [1947-]
1386-7415, 954925622220, [Record not found in Sirsi], [1980-]
1387-1307, 954925622221, [1998-], [1998-]
1387-2842, 954925622224, [Record not found in Sirsi], [1968-]
1420-0597, 954925623242, [1997-], [1997-]
1420-3049, 954925623244, [1996-], []
1420-682X, 954925623246, [1997-], [1997-]
1431-0651, 954925623254, [1997-], [1997-]
1431-2174, 954925623255, [1995-], [1995-]
1431-7613, 954925623258, [2000-], [2000-]
1432-4350, 954925623260, [Record not found in Sirsi], [1967-]
1432-8488, 954925623261, [1997-], [1997-]
1432-881X, 954925623262, [Record not found in Sirsi], [1962-]
1432-9840, 954925623264, [1998-], [1998-]
1433-7541, 954925623267, [1998-], [1998-]
1434-5161, 954925624275, [1998-], [1998-]
1434-6001, 954925624276, [1998-], [1998-]
1434-6028, 954925624277, [v.1(1998)-], [1962-1996, 1998-]
1434-6044, 954925624278, [v.1(1998)-], [1979-1996, 1998-]
1434-6060, 954925624279, [v.1(1998)-], [1986-1996, 1998-]
1435-0211, 954925624282, [1998-], [1998-]
1435-2443, 954925624283, [Record not found in Sirsi], [1852-]
1436-2228, 954925624285, [1999-], [1999-]
1436-3240, 954925624286, [Record not found in Sirsi], [1987-]
1436-5693, 954925624287, [v.73(2000)-v.76(2003)], [1925-2003]
1436-6207, 954925624288, [1999-], [1960-]
1437-3254, 954925624290, [1999-], [1999-]
1438-2377, 954925624291, [Record not found in Sirsi], [1898-]
0006-3509, 954926222371, [Record not found in Sirsi], [2006-]
0043-2288, 954926226387, [2002-], [2002-]
0133-3852, 954926228398, [1975-], [1975-]
0393-5965, 954926239448, [1985-], [1985-]
0761-8980, 954926240457, [1998-2003, 2011-], [1998-2003, 2011-]
0925-5710, 954926242481, [2001-], [2001-]
0965-5425, 954926244521, [2006-], [2006-]
0965-5441, 954926244522, [2006-], [2006-]
0968-5243, 954926245532, [1993-], [1993-]
0138-4821, 954926402632, [1971-], [1971-]
0001-4346, 954926935675, [Record not found in Sirsi], [1967-1991, 2003-]
0002-5240, 954926936680, [1971-], [1971-]
0003-6994, 954926937687, [Record not found in Sirsi], [1949-1997]
0004-2080, 954926937693, [1949-], [1949-]
0006-3835, 954926938704, [1961-], [1961-]
0010-4817, 954926940720, [1966-2004], [1966-2004]
0011-4642, 954926941723, [1951-], [1951-]
0012-2661, 954926941724, [2000-], [2000-]
0013-8959, 954926942728, [1997], [1997-1997]
0014-4754, 954926942730, [1945-1996], [1945-1996]
0016-2663, 954926942734, [1967-], [1967-]
0016-7835, 954926943738, [1910-1999], [1910-1999]
0019-5588, 954926944745, [2010-], [2010-]
0020-3157, 954926944746, [1949-], [1949-]
0021-7670, 954926945755, [1951-], [1951-]
0023-8236, 954926948772, [1997], [1997-1997]
0025-5858, 954926948775, [1922-], [1922-]
0037-1912, 954926952807, [1970-], [1970-]
0037-4466, 954926952808, [1966-], [1966-]
0044-264X, 954926954823, [1960-1998], [1960-1998]
0046-5755, 954926955835, [1972-], [1972-]
0065-4299, 954926957871, [1969-1994], [1969-1994]
0071-3260, 954926957885, [2007-], [2007-]
0167-1731, 954926964941, [1980-1995], [1980-1995]
0167-8094, 954926964945, [1984-], [1984-]
0168-7433, 954926965948, [1985-], [1985-]
0170-9739, 954926965953, [1979-1997], [1979-1997]
0171-6468, 954926965954, [1979-], [1979-]
0178-7683, 954926966960, [1986-1997], [1986-1997]
0232-704X, 954926967974, [1983-], [1983-]
0236-5294, 954926968975, [Record not found in Sirsi], [1950-]
0252-9599, 954926968977, [1999-], [1999-]
0253-4142, 954926968979, [1980-], [1980-]
0303-4240, 954926973011, [1974-], [1974-]
0361-7688, 954926976034, [2000-], [2000-]
0368-4466, 954926976041, [1997], [1997-1997]
0722-3277, 954926979062, [v.99(1995)-v.104(1997)], [1962-1996, 1996-1997]
0748-1977, 954926981072, [1985-1997], [1985-1997]
0911-0119, 954926985102, [1985-], [1985-]
0916-8478, 954926986106, [1992-1997, 1997-1997], [1992-1997, 1997-1997]
0921-299X, 954926986110, [1988-1998], [1988-1998]
0925-9856, 954926987115, [1992-], [1992-]
0925-9899, 954926987116, [1992-], [1992-]
0927-2852, 954926987117, [1993-], [1993-]
0927-6947, 954926987119, [1993-2008], [1993-2008]
0931-1955, 954926988122, [1997-1998], [1997-1998]
0932-5026, 954926988124, [2000-], [1960-]
0939-7922, 954926989130, [1996-1997], [1920-1996]
0943-4062, 954926989134, [1999-], [1999-]
0960-3174, 954926992159, [1991-], [1991-]
0963-9314, 954926992164, [1992-], [1992-]
0967-0912, 954926993165, [2007-], [2007-]
0971-7811, 954926993168, [2011-], [2011-]
1050-6926, 954926996194, [1991-], [1991-]
1053-6426, 954926997200, [1998], [1998-1998]
1370-4621, 954927002246, [1994-], [1994-]
1431-4630, 954927003248, [Record not found in Sirsi], [1898-1999]
0013-1954, 954927378251, [1968-], [1968-]
0020-8566, 954927378252, [1955-], [1955-]
0031-5303, 954927379253, [1971-], [1971-]
0039-3215, 954927379254, [1953-], [1953-]
0039-3746, 954927379255, [1960-], [1960-]
0092-0606, 954927379256, [1973-], [1973-]
0144-932X, 954927379258, [1979-], [1979-]
0165-0106, 954927379260, [1975-], [1975-]
0165-0653, 954927379261, [1978-], [1978-]
0168-6291, 954927380262, [1986-], [1986-]
0169-3816, 954927380263, [1986-], [1986-]
0251-1088, 954927380264, [1981-], [1981-]
0304-4092, 954927380265, [1975-], [1975-]
0340-8744, 954927380266, [v.1(1974)-], [1973-]
0343-2521, 954927380268, [1977-], [1977-]
0735-9640, 954927380269, [1983-], [1980-]
0826-4805, 954927380270, [Record not found in Sirsi], [1970-]
0885-2545, 954927380271, [1977-], [1977-]
0889-048X, 954927381272, [1984-], [1984-]
0889-3047, 954927381273, [1987-], [1987-]
0892-9912, 954927381274, [1977-], [1977-]
0895-8815, 954927381275, [1988-2003], [1988-2003]
0920-427X, 954927381277, [1987-], [1987-]
0920-525X, 954927381278, [1987-2007], [1987-2007]
0922-6567, 954927381279, [Record not found in Sirsi], [1986-]
0923-0645, 954927381280, [1989-], [1989-]
0923-4861, 954927381282, [1989-], [1989-]
0924-6495, 954927381283, [1991-], [1991-]
0924-8455, 954927381284, [1991-1999], [1991-1999]
0924-8463, 954927381285, [1992-], [1992-]
0924-865X, 954927382286, [1991-], [1991-]
0925-4560, 954927382287, [v.21(1990)-], [1970-]
0925-4676, 954927382288, [1991-2001], [1991-2001]
0925-5125, 954927382289, [1991-1999], [1991-1999]
0925-8531, 954927382290, [1992-], [1992-]
0925-854X, 954927382291, [1992-], [1992-]
0925-9392, 954927382292, [Record not found in Sirsi], [1961-]
0925-9724, 954927382293, [1992-], [1992-]
0926-7220, 954927382294, [1992-], [1992-]
0927-7056, 954927382295, [1993-2004], [1993-2004]
0927-7099, 954927382296, [Record not found in Sirsi], [1988-]
0928-1045, 954927382297, [1993-1996], [1993-1996]
0928-1371, 954927382298, [1993-], [1993-]
0928-8910, 954927382299, [1994-], [1994-]
0929-1261, 954927382300, [1994-], [1994-]
0929-1881, 954927382301, [1994-1999], [1994-1999]
0929-189X, 954927382302, [1994-], [1994-]
0929-5607, 954927383303, [1995-], [1995-]
0929-5666, 954927383304, [1994-2003], [1994-2003]
0929-6212, 954927383305, [1994-], [1994-]
0952-8059, 954927383306, [1988-], [1988-]
0956-2737, 954927383307, [1989-], [1989-]
0957-7572, 954927383308, [1990-], [1990-]
0957-8536, 954927383309, [1990-], [1990-]
0960-3182, 954927383310, [Record not found in Sirsi], [1983-]
0966-3622, 954927383312, [1993-], [1993-]
0969-0239, 954927383313, [1994-], [1994-]
0969-6970, 954927383314, [1997-], [1997-]
1037-0544, 954927383315, [1992-1999], [1992-1999]
1042-1467, 954927383316, [v.11(1997)-v.13(1999)], [1987-1999]
1043-4062, 954927383317, [1990-], [1990-]
1046-560X, 954927383318, [1989-], [1989-]
1046-8374, 954927383319, [1989-], [1989-]
1059-0145, 954927383320, [1992-], [1992-]
1083-8155, 954927383321, [1997-], [1997-]
1120-7388, 954927383322, [1991-2001], [1991-2001]
1187-7863, 954927384323, [Record not found in Sirsi], [1988-]
1230-1612, 954927384325, [1992-], [1992-]
1233-1821, 954927384326, [Record not found in Sirsi], []
1353-5226, 954927384327, [1995-2002], [1995-2002]
1356-4765, 954927384328, [1995-], [1995-]
1357-5325, 954927384329, [Record not found in Sirsi], [1960-2001]
1360-2357, 954927384330, [1996-], []
1366-638X, 954927384331, [1997-], [1997-]
1380-6645, 954927384332, [1996-], []
1380-6653, 954927384333, [1996-], []
1380-7870, 954927384334, [1995-], [1995-]
1381-2386, 954927384335, [1996-], []
1381-2416, 954927384336, [1995-], [1995-]
1381-2890, 954927384337, [1996-], []
1381-298X, 954927384338, [1995-], [1995-]
1381-4338, 954927384339, [1996-], []
1381-5741, 954927384340, [Record not found in Sirsi], [1975-2004]
1382-3019, 954927384341, [1996-], []
1382-3256, 954927384342, [1996-], []
1382-3892, 954927384343, [Record not found in Sirsi], [1996-]
1382-4147, 954927384344, [1996-], []
1382-4554, 954927384345, [1997-], [1997-]
1382-4996, 954927385346, [1996-], []
1382-6891, 954927385348, [1997-2003], [1997-2003]
1383-4924, 954927385349, [1997-], [1997-]
1383-7133, 954927385350, [1996-], []
1384-6175, 954927385351, [1997-], [1997-]
1385-0172, 954927385352, [1998-], [1998-]
1385-2000, 954927385354, [1997-], [1997-]
1385-2256, 954927385355, [1999-], [1999-]
1385-2264, 954927385356, [1997-2003], [1997-2003]
1385-3139, 954927385357, [1995-2007], [1995-2007]
1385-3449, 954927385358, [1997-], [1997-]
1385-3457, 954927385359, [1997-], [1997-]
1386-1980, 954927385361, [1997-2002], [1997-2002]
1386-1999, 954927385362, [1998-], [1998-]
1386-2588, 954927385363, [1997-], [1997-]
1386-2820, 954927385364, [1998-], [1998-]
1386-341X, 954927385365, [1998-], [1998-]
1386-3509, 954927385366, [Record not found in Sirsi], []
1386-4157, 954927385367, [1998-], [1998-]
1386-4238, 954927385368, [1999-], [1999-]
1386-4416, 954927386369, [1998-], [1998-]
1386-4564, 954927386370, [1999-], [1999-]
1386-7423, 954927386372, [1998-], [1998-]
1386-923X, 954927386373, [1998-], [1998-]
1387-0874, 954927386374, [1998-], [1998-]
1387-1579, 954927386375, [1998-], [1998-]
1387-2176, 954927386376, [1998-], [1998-]
1387-2532, 954927386377, [1998-], [1998-]
1387-2834, 954927386378, [Record not found in Sirsi], [1994-]
1387-3326, 954927386379, [1999-], [1999-]
1387-3547, 954927386380, [1999-], [1999-]
1387-5841, 954927386381, [1999-], [1999-]
1387-585X, 954927386382, [Record not found in Sirsi], [1999-]
1387-6996, 954927386385, [1999-], [1999-]
1387-974X, 954927386386, [1999-], [1999-]
1388-0764, 954927386387, [1999-], [1999-]
1388-1957, 954927386388, [1999-], [1999-]
1388-3690, 954927386390, [Record not found in Sirsi], [1988-]
0001-5563, 954927511421, [1964-1991], [1964-1991]
0002-9548, 954927516539, [1941-], [1941-]
0003-9012, 954927519602, [1939-1974], [1939-1974]
0003-9128, 954927519605, [1870-1978], [1870-1978]
0003-9187, 954927519609, [1971-1975], [1971-1975]
0003-9217, 954927519611, [1937-1972], [1937-1972]
0003-9276, 954927519613, [1930-1973], [1930-1973]
0003-9330, 954927520614, [1918-1977], [1918-1977]
0003-9373, 954927520616, [1868-1983], [1868-1983]
0004-069X, 954927522662, [2006-], [2006-]
0006-3398, 954927524718, [1967-], [1967-]
0006-5242, 954927524721, [1955-1990], [1955-1990]
0007-4888, 954927526756, [1956-], [1956-]
0007-4985, 954927526757, [1939-1972], [1939-1972]
0008-0594, 954927526770, [1967-1978], [1967-1978]
0009-4749, 954927529826, [2008], [2008-2008]
0012-1037, 954927533922, [1970-1974], [1970-1974]
0015-2684, 954927535975, [1965-], [1965-]
0015-816X, 954927536001, [1952-1995], [1952-1995]
0018-2222, 954927539074, [1964-1973], [1964-1973]
0018-7348, 954927540091, [1964-1975], [1964-1975]
0019-5456, 954927540114, [1935-], [1935-]
0019-6061, 954927541120, [1994-], [1994-]
0020-5923, 954927542146, [1970-1975], [1970-1975]
0021-5074, 954927544197, [1956-1991], [1956-1991]
0021-9185, 954927545234, [1971-1978], [1971-1978]
0025-696X, 954927551363, [1966-1976], [1966-1976]
0030-9338, 954927561602, [2007-], [2007-]
0033-3026, 954927565690, [1921-1974], [1921-1974]
0033-8362, 954927566713, [2006-], [2006-]
0043-5341, 954927578036, [1851-1935, 2003-], [1851-1935, 2003-]
0044-3794, 954927581087, [1934-1938], [1934-1938]
0097-0549, 954927607781, [Record not found in Sirsi], [1967-]
0148-5598, 954927615970, [1977-], [1977-]
0158-9938, 954927616994, [2001-], [2001-]
0170-9925, 954927621093, [1978-1987], [1978-1987]
0171-1091, 954927621094, [1979-1992], [1979-1992]
0175-758X, 954927622119, [1984-1990], [1984-1990]
0254-8860, 954927632373, [1982-], [1982-]
0257-716X, 954927633390, [1997-2001], [1997-2001]
0288-2043, 954927640548, [2006-], [2006-]
0300-8614, 954927642595, [1955-1971], [1955-1971]
0301-1623, 954927646691, [1969-], [1969-]
0340-1057, 954927654898, [1974-1983], [1974-1983]
0340-1766, 954927654903, [Record not found in Sirsi], [2010-]
0342-7196, 954927655924, [1978-1979], [1978-1979]
0344-8444, 954927656936, [1978-1988], [1978-1988]
0362-1197, 954927658995, [2000-], [2000-]
0364-2356, 954927660026, [1976-1992], [1976-1992]
0365-267X, 954927660040, [1910-1968], [1910-1968]
0365-5423, 954927661055, [1966-1969], [1966-1969]
0367-004X, 954927662079, [1891-1970], [1891-1970]
0368-9271, 954927663113, [1963-1965], [1963-1965]
0722-2211, 954927682623, [1982-1987], [1982-1987]
0734-600X, 954927684673, [v.1(1983)-v.9(1988)], [1983-1988, 1997-1998]
0885-8195, 954927694922, [2001-], [2001-]
0914-7470, 954927702110, [2002-], [2002-]
0914-8779, 954927702112, [1988-], [1988-]
0932-0113, 954927704141, [1987-1996, 1996-], [1987-1996, 1996-]
0937-3462, 954927705154, [Record not found in Sirsi], [1990-]
0944-1166, 954927705166, [1993-2009], [1993-2009]
0948-6143, 954927706172, [1995-], [1995-]
0948-6704, 954927706173, [1998-], [1998-]
0949-2658, 954927706175, [1996-], []
1040-7308, 954927714333, [1990-], [1990-]
1041-3545, 954927714343, [Record not found in Sirsi], [1980-]
1073-6085, 954927728596, [1994-], [1994-]
1079-0632, 954927729630, [1995-], [1995-]
1085-9195, 954927731669, [Record not found in Sirsi], [1979-1996, 1998-]
1219-4956, 954927738785, [1995-], [1995-]
1232-1087, 954927738797, [2002-], [2002-]
1344-4964, 954927740830, [2001-2006], [2001-2006]
1354-2516, 954927740840, [1995-], [1995-]
1357-0560, 954927741849, [v.12(1995)], [1984-]
1364-6745, 954927741865, [1997-], [1997-]
1432-6981, 954927743886, [1997-], [1997-]
1432-9417, 954927743887, [1997-2007], [1997-2007]
1433-7398, 954927743888, [1997-], [1997-]
0001-4370, 954928465004, [2006-], [2006-]
0001-544X, 954928466011, [1997-2001], [1997-2001]
0003-6838, 954928471086, [2000-], [2000-]
0009-2355, 954928477172, [1965-], [1965-]
0009-3262, 954928478177, [1960-1977], [1960-1977]
0015-0541, 954928483249, [1969-], [1969-]
0016-8521, 954928485282, [2006-], [2006-]
0017-9957, 954928485291, [1937-1979], [1937-1979]
0019-5480, 954928487311, [2009-], [2009-]
0020-1154, 954928488327, [1929-1990], [1929-1990]
0020-5958, 954928488342, [1969-1985], [1969-1985]
0022-0930, 954928492387, [2000-], [2000-]
0026-1335, 954928499491, [1958-], [1958-]
0029-568X, 954928502529, [2010-], [2010-]
0033-2968, 954928506597, [2009-], [2009-]
0035-5038, 954928509643, [2006-], [2006-]
0039-2316, 954928513709, [1969-], [1969-]
0040-6015, 954928514734, [2006-], [2006-]
0073-8301, 954928524887, [1959-], [1959-]
0090-2977, 954928526938, [1969-], [1969-]
0137-1339, 954928533051, [Record not found in Sirsi], [2002-2003, 2005-]
0146-3721, 954928535096, [1977-], [1977-]
0162-9719, 954928538148, [1979-1986], [1979-1986]
0259-8477, 954928551330, [1985-1986], [1985-1986]
0340-3793, 954928567576, [1973-1981], [1973-1981]
0340-5664, 954928567581, [1971-1986], [1971-1986]
0361-7610, 954928570626, [1956-], [1956-]
0369-8211, 954928573686, [2012-], [2012-]
0375-930X, 954928574711, [1971-1985], [1971-1985]
0721-7250, 954928582869, [1981-1994], [1981-1994]
0721-7269, 954928582870, [1981-1993], [1981-1993]
0931-7058, 954928599069, [1987-1991], [1987-1991]
0938-0108, 954928599072, [2001-], [2001-]
0941-2905, 954928600080, [1997-1998], [1997-1998]
0947-7411, 954928601085, [Record not found in Sirsi], [1968-]
1000-2413, 954928606132, [2002-], [2002-]
1005-9040, 954928607142, [2013-], [2013-]
1017-1398, 954928608154, [1991-], [1991-]
